Date,Actual,CNN_Predict,LSTM_Predict
2014-07-01,8.7,7.020830352604389,9.032229068875314
2014-08-01,8.2,6.929424180090427,8.995701530575753
2014-09-01,8.0,6.703855581581593,8.921177938580513
2014-10-01,7.8,6.451727171242237,8.813421165943145
2014-11-01,7.9,6.259496010839939,8.682052305340767
2014-12-01,8.0,6.248317293822765,8.600404453277587
2015-01-01,8.0,6.222918571531773,8.585448408126831
2015-02-01,7.7,6.186309944093227,8.597302570939064
2015-03-01,7.8,6.087556739151478,8.570665234327317
2015-04-01,7.9,6.052205438911915,8.5508420586586
2015-05-01,8.0,6.063325789570809,8.568736916780471
2015-06-01,8.2,6.086033867299557,8.620429906249047
2015-07-01,8.3,6.167867957055568,8.717527467012406
2015-08-01,8.5,6.241152934730053,8.838206818699836
2015-09-01,8.3,6.39165348559618,8.980749940872192
2015-10-01,8.1,6.398976458609104,9.054951849579812
2015-11-01,7.9,6.324222965538501,9.033970257639885
2015-12-01,8.0,6.229678821563721,8.930348140001296
2016-01-01,8.2,6.2214910462498665,8.835378500819207
2016-02-01,8.4,6.261463981866837,8.810813838243485
2016-03-01,8.5,6.33942495137453,8.867204651236534
2016-04-01,8.7,6.436224442720413,8.970841917395592
2016-05-01,9.0,6.590426133573056,9.114914149045944
2016-06-01,9.2,6.840442661941052,9.30815847814083
2016-07-01,9.2,7.0888846352696415,9.520061329007149
2016-08-01,9.3,7.237444393336773,9.685386043787002
2016-09-01,9.4,7.357464338839054,9.808012425899506
2016-10-01,9.3,7.480176265537739,9.898005330562592
2016-11-01,9.37,7.500157164037228,9.924805736541748
2016-12-01,9.55,7.539726881682872,9.928486827015877
2017-01-01,9.62,7.65780336111784,9.959568026661874
2017-02-01,11.38,7.768162114918232,10.009171411395073
2017-03-01,12.77,8.810994283854962,10.450690189003945
2017-04-01,13.72,10.289828495681286,11.27869762480259
2017-05-01,15.58,11.74907968044281,12.293230575323106
2017-06-01,16.48,13.624094039201736,13.565211740136148
2017-07-01,17.13,15.17843382358551,14.821558740735055
2017-08-01,17.61,16.177560728788375,15.862506255507467
2017-09-01,17.85,16.64144228696823,16.600695440173148
2017-10-01,18.33,16.819977402687073,17.013515791296957
2017-11-01,18.48,17.054622638225553,17.243481025099754
2017-12-01,18.55,17.241555380821225,17.326576897501944
2018-01-01,18.72,17.221283096075055,17.30500540435314
2018-02-01,17.78,17.230197554826734,17.257652911543843
2018-03-01,17.26,16.64211595058441,16.952575966715813
2018-04-01,17.24,15.99297511577606,16.473533412814138
2018-05-01,16.25,15.667007470130919,16.042126718163487
2018-06-01,16.1,15.036857533454894,15.506854638457297
2018-07-01,16.05,14.626894015073777,15.044855061173438
2018-08-01,16.01,14.449777513742447,14.742736533284187
2018-09-01,15.98,14.411052548885346,14.597985291481018
2018-10-01,15.91,14.360255104303361,14.567990329861642
2018-11-01,15.9,14.39354442358017,14.592330437898637
2018-12-01,15.37,14.461071181297303,14.640864515304566
2019-01-01,15.13,14.164235031604766,14.564402803778648
2019-02-01,14.33,13.874377894401551,14.403053238987923
2019-03-01,13.34,13.213107550144196,14.05870598256588
2019-04-01,12.48,12.369318920373917,13.500071319937707
2019-05-01,11.61,11.503263747692108,12.809108984470368
2019-06-01,11.23,10.666632348299027,12.055986031889915
2019-07-01,11.14,10.059214548766613,11.410101237893105
2019-08-01,11.23,9.739221657812596,10.981505930423737
2019-09-01,11.28,9.669594602286816,10.801619032025338
2019-10-01,11.26,9.703835605084896,10.80939735174179
2019-11-01,11.28,9.767301668226718,10.910793527960777
2019-12-01,11.44,9.863510812819005,11.045901399850845
2020-01-01,11.37,9.988494126498699,11.20599007308483
2020-02-01,11.31,9.977011547982693,11.327475860714912
2020-03-01,11.25,9.935413710772991,11.388378259539603
2020-04-01,11.37,9.878681610524655,11.39412935078144
2020-05-01,11.4,9.931388659775257,11.403286185860633
2020-06-01,11.22,9.97762996405363,11.419263419508933
2020-07-01,11.08,9.90387092679739,11.394386875629426
2020-08-01,11.02,9.770821471512317,11.326139226555824
2020-09-01,11.24,9.677699951827526,11.243115532398225
2020-10-01,11.61,9.736147399246693,11.226258793473244
2020-11-01,11.85,9.988078878819943,11.329704475402831
2020-12-01,11.98,10.270562250912189,11.517062267661094
2021-01-01,12.13,14.299801814556123,14.348081931471825
2021-02-01,12.2,15.106446272134779,14.985234048962592
2021-03-01,12.26,15.951421833038328,15.668248757719992
2021-04-01,12.34,16.75175915956497,16.37052882015705
2021-05-01,12.4,17.044760060310363,16.844479689002036
2021-06-01,12.56,16.929438829421997,17.004357174038887
2021-07-01,12.82,16.665412592887876,16.90647812783718
2021-08-01,13.22,16.271016407012937,16.606993660330772
2021-09-01,13.71,15.909729540348051,16.19606598317623
2021-10-01,14.23,15.525541675090789,15.749863639473913
2021-11-01,14.89,14.947559678554535,15.253398504853248
2021-12-01,15.75,14.271215665340424,14.733651876449585
2022-01-01,16.47,14.105018573999406,14.415372550487518
2022-02-01,17.33,14.044818353652955,14.277206459641457
2022-03-01,18.17,14.111988675594331,14.29319616854191
2022-04-01,18.12,14.300764191150666,14.437790578603744
2022-05-01,17.93,15.048320508003233,14.827686762809753
2022-06-01,17.75,15.926861625909805,15.44426095187664
2022-07-01,17.38,16.859914249181745,16.21189707815647
2022-08-01,17.01,17.76734092235565,17.084699580073355
2022-09-01,16.63,18.39534155130386,17.96312040090561
2022-10-01,15.99,18.467063558101653,18.62739549875259
2022-11-01,15.4,18.287010025978088,19.051689517498016
2022-12-01,15.63,18.122664618492124,19.309004068374634
2023-01-01,15.6,17.794816774129867,19.34884645938873
2023-02-01,15.7,34.28917992115021,27.50730493068695
2023-03-01,15.92,37.51009398698807,37.25924161672592
2023-04-01,16.82,35.627325367927554,44.42746090888977
2023-05-01,17.71,31.41103231906891,47.56467672586441
2023-06-01,18.6,25.373044139146803,47.614406645298004
2023-07-01,19.64,23.052682882547376,46.23712455034256
2023-08-01,20.52,22.251265555620193,44.5881385922432
2023-09-01,20.77,20.75994005203247,43.25014997720719
2023-10-01,21.09,18.723859494924543,42.70628601312637
2023-11-01,21.47,18.835835576057434,43.002223944664
2023-12-01,21.34,18.1282107591629,43.82897316217422
